rownames;income;education
accountant;62;86
pilot;72;76
architect;75;92
author;55;90
chemist;64;86
minister;21;84
professor;64;93
dentist;80;100
reporter;67;87
engineer;72;86
undertaker;42;74
lawyer;76;98
physician;76;97
welfare.worker;41;84
teacher;48;91
conductor;76;34
contractor;53;45
factory.owner;60;56
store.manager;42;44
banker;78;82
bookkeeper;29;72
mail.carrier;48;55
insurance.agent;55;71
store.clerk;29;50
carpenter;21;23
electrician;47;39
RR.engineer;81;28
machinist;36;32
auto.repairman;22;22
plumber;44;25
gas.stn.attendant;15;29
coal.miner;7;7
streetcar.motorman;42;26
taxi.driver;9;19
truck.driver;21;15
machine.operator;21;20
barber;16;26
bartender;16;28
shoe.shiner;9;17
cook;14;22
soda.clerk;12;30
watchman;17;25
janitor;7;20
policeman;34;47
waiter;8;32
